time_index,month_sin,month_cos,region_to,subdivision,category,q1,q2,q3,q4,holiday_period,time_squared,time_cubed,time_seasonal,region_encoded,subdivision_encoded,category_encoded,time_region,time_subdivision,Сумма по полю distributed_ads_cost, revenue_first_transactions, revenue_repeat_transactions,Сумма по полю first_traffic,Сумма по полю repeat_traffic,Сумма по полю first_transactions,Сумма по полю repeat_transactions,Сумма по полю ads_cost,Сумма по полю not_ads_cost,Сумма по полю bonus_company,Сумма по полю promo_cost
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Аксессуары,0,0,1,0,0,1024,32768,-27.712812921102028,1,0,2,32,0,3613.7129667211398,2433.56711214733,4519.591409354133,3.8920849959798187,4.355114577738521,1.4513919861391817,1.4626238301431118,1616069.2310746326,85860.12953034462,38.48075696002275,300.894031298593
33,-1.0,-1.8369701987210297e-16,cis,brand,Аксессуары,0,0,0,1,0,1089,35937,-33.0,1,0,2,33,0,3678.8715143401873,2890.0544975276885,4879.940340060308,4.01941025865775,4.451202272446938,1.4449972992321607,1.5068654868214129,1933779.6781071424,89952.90171879239,38.21612980921599,191.06297950913708
34,-0.8660254037844386,0.5000000000000001,cis,brand,Аксессуары,0,0,0,1,0,1156,39304,-29.444863728670914,1,0,2,34,0,3701.9580535558734,2559.5157655101434,4856.052557048725,3.975824967544369,4.484804711864881,1.4552114600713215,1.5188101172610013,1907731.7580413532,94343.55551338303,40.67071314254933,192.4430363273189
35,-0.5000000000000004,0.8660254037844384,cis,brand,Аксессуары,0,0,0,1,1,1225,42875,-17.500000000000014,1,0,2,35,0,3744.0046911865356,1742.8940835809615,4842.6359795790295,3.989900202654087,4.59189007095024,1.5096852680916415,1.511053072941297,1935686.7061365915,103517.44529116082,40.57360994099706,182.928961975592
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Вкусные наборы,0,0,1,0,0,1024,32768,-27.712812921102028,1,0,3,32,0,7936.523571806552,2570.6093581243417,4547.491409354134,4.4780321545553745,16.372110853822388,1.4680586528058484,1.4626238301431118,1394026.4948524109,85860.12953034462,47.56038726601203,279.0213389909007
33,-1.0,-1.8369701987210297e-16,cis,brand,Вкусные наборы,0,0,0,1,0,1089,35937,-33.0,1,0,3,33,0,8688.11560156846,3054.5074577904143,4907.840340060308,4.4780321545553745,16.372110853822388,1.4616639658988277,1.5068654868214129,1711710.8552182538,89952.90171879239,43.143571401655706,177.4002872014448
34,-0.8660254037844386,0.5000000000000001,cis,brand,Вкусные наборы,0,0,0,1,0,1156,39304,-29.444863728670914,1,0,3,34,0,10062.452316749845,2699.185392439536,4883.952557048725,4.4780321545553745,16.429440893812977,1.4718781267379881,1.5188101172610013,1686058.5509857975,94343.55551338303,45.58815473498904,178.7803440196266
35,-0.5000000000000004,0.8660254037844384,cis,brand,Вкусные наборы,0,0,0,1,1,1225,42875,-17.500000000000014,1,0,3,35,0,17209.42792654398,1882.5637105103542,4870.535979579029,4.492039997692629,16.487419976677018,1.5096852680916415,1.511053072941297,1727203.0890810355,103517.44529116082,45.23327375565899,169.26626966789973
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Воздушные шары,0,0,1,0,0,1024,32768,-27.712812921102028,1,0,4,32,0,19683.81785245722,2085.3196342934884,3873.3433531544893,4.4780321545553745,11.70637148930654,1.4079778574872541,1.4544454162836635,1394026.4948524109,85860.12953034462,56.536457515298736,323.62275157831317
33,-1.0,-1.8369701987210297e-16,cis,brand,Воздушные шары,0,0,0,1,0,1089,35937,-33.0,1,0,4,33,0,19312.2991756691,2481.4129696307514,4130.9664203686,4.4780321545553745,11.70637148930654,1.3915831705802333,1.4986870729619646,1711710.8552182538,89952.90171879239,93.73415819069642,202.503866455524
34,-0.8660254037844386,0.5000000000000001,cis,brand,Воздушные шары,0,0,0,1,0,1156,39304,-29.444863728670914,1,0,4,34,0,20125.97989789132,2162.3601899941596,4108.784110520435,4.4780321545553745,11.76370152929713,1.4017973314193939,1.4953118380816874,1686058.5509857975,94343.55551338303,96.17874152402973,203.88392327370585
35,-0.5000000000000004,0.8660254037844384,cis,brand,Воздушные шары,0,0,0,1,1,1225,42875,-17.500000000000014,1,0,4,35,0,25442.000284849946,1802.8970497316445,4338.872311947818,4.492039997692629,11.821680612161169,1.4653464489685113,1.4913859625931523,1727203.0890810355,103517.44529116082,95.8138605446997,195.59093866556867
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Декор,0,0,1,0,0,1024,32768,-27.712812921102028,1,0,5,32,0,2317.310234940585,2854.852114271715,3744.734920634225,9.935627407533913,12.56935765991383,1.489949137818937,1.4424914117099865,1393533.5104079663,85860.12953034462,39.454600133874465,660.1999464740308
33,-1.0,-1.8369701987210297e-16,cis,brand,Декор,0,0,0,1,0,1089,35937,-33.0,1,0,5,33,0,2351.6695682739182,3079.0656011241294,3971.200112848336,9.935627407533913,12.56935765991383,1.463470159886301,1.5126616398168589,1711217.8707738093,89952.90171879239,61.02800817059298,604.3198210360011
34,-0.8660254037844386,0.5000000000000001,cis,brand,Декор,0,0,0,1,0,1156,39304,-29.444863728670914,1,0,5,34,0,2383.6671516072515,2797.5384881542045,3949.017803000171,9.935627407533913,12.626687699904421,1.461479873749673,1.4792864049365821,1685565.5665413532,94343.55551338303,60.31311317669798,605.1451457113259
35,-0.5000000000000004,0.8660254037844384,cis,brand,Декор,0,0,0,1,1,1225,42875,-17.500000000000014,1,0,5,35,0,2256.5849534638915,2479.5276787187568,4085.0032835373336,10.019688301069044,12.684666782768458,1.4532870166068161,1.4753605294480465,1726710.1046365914,103517.44529116082,60.259545869005684,583.095556693106
32,-0.8660254037844384,-0.5000000000000004,cis,brand,Кондитерские и пекарни,0,0,1,0,0,1024,32768,-27.712812921102028,1,0,14,32,0,201594.73742471982,8782.160896230422,50721.63741347732,31.668244181102704,178.03989512182181,3.7402574860703526,11.909921374456886,1504788.928574633,85860.12953034462,704.4213481526177,14801.725234450008
33,-1.0,-1.8369701987210297e-16,cis,brand,Кондитерские и пекарни,0,0,0,1,0,1089,35937,-33.0,1,0,14,33,0,201594.73742471982,14963.082624011338,51670.917331672536,34.063015354787,192.8748767606672,4.245744508522213,12.808765925096598,1819639.3856071427,89952.90171879239,774.924144884255,16908.778729318994
34,-0.8660254037844386,0.5000000000000001,cis,brand,Кондитерские и пекарни,0,0,0,1,0,1156,39304,-29.444863728670914,1,0,14,34,0,201594.73742471982,16919.997138253115,51670.917331672536,34.063015354787,196.6628072745977,4.578797733251908,13.248635663127313,1769546.2780413532,94343.55551338303,780.4430610508309,16957.488729318993
