year,month,region_to,time_index,month_sin,month_cos,q1,q2,q3,q4,holiday_period,forecast_revenue
2026,1,belarus,32,0.49999999999999994,0.8660254037844387,1,0,0,0,1,49914303.88524647
2026,2,belarus,33,0.8660254037844386,0.5000000000000001,1,0,0,0,1,54498603.77635495
2026,3,belarus,34,1.0,6.123233995736766e-17,1,0,0,0,1,58956579.33575773
2026,4,belarus,35,0.8660254037844387,-0.49999999999999983,0,1,0,0,0,43847785.78375445
2026,1,cis,32,0.49999999999999994,0.8660254037844387,1,0,0,0,1,41864095.66567567
2026,2,cis,33,0.8660254037844386,0.5000000000000001,1,0,0,0,1,46498285.46747331
2026,3,cis,34,1.0,6.123233995736766e-17,1,0,0,0,1,50439330.29409133
2026,4,cis,35,0.8660254037844387,-0.49999999999999983,0,1,0,0,0,36309533.24728675
2026,1,mena,32,0.49999999999999994,0.8660254037844387,1,0,0,0,1,40930058.15146334
2026,2,mena,33,0.8660254037844386,0.5000000000000001,1,0,0,0,1,44468110.87334267
2026,3,mena,34,1.0,6.123233995736766e-17,1,0,0,0,1,46846827.66964412
2026,4,mena,35,0.8660254037844387,-0.49999999999999983,0,1,0,0,0,36634922.02350812
2026,1,other,32,0.49999999999999994,0.8660254037844387,1,0,0,0,1,41482103.812108845
2026,2,other,33,0.8660254037844386,0.5000000000000001,1,0,0,0,1,46731252.06443252
2026,3,other,34,1.0,6.123233995736766e-17,1,0,0,0,1,51212927.44973563
2026,4,other,35,0.8660254037844387,-0.49999999999999983,0,1,0,0,0,37244380.869110376
2026,1,russia,32,0.49999999999999994,0.8660254037844387,1,0,0,0,1,3235152209.3689795
2026,2,russia,33,0.8660254037844386,0.5000000000000001,1,0,0,0,1,3601468888.7755523
2026,3,russia,34,1.0,6.123233995736766e-17,1,0,0,0,1,3911250284.493723
2026,4,russia,35,0.8660254037844387,-0.49999999999999983,0,1,0,0,0,2830313434.424844
2026,1,spain,32,0.49999999999999994,0.8660254037844387,1,0,0,0,1,22048181.737658337
2026,2,spain,33,0.8660254037844386,0.5000000000000001,1,0,0,0,1,24268695.955143757
2026,3,spain,34,1.0,6.123233995736766e-17,1,0,0,0,1,26159438.911689434
2026,4,spain,35,0.8660254037844387,-0.49999999999999983,0,1,0,0,0,23902918.276701543
2026,1,turkey,32,0.49999999999999994,0.8660254037844387,1,0,0,0,1,7874972.654337445
2026,2,turkey,33,0.8660254037844386,0.5000000000000001,1,0,0,0,1,8716629.306647385
2026,3,turkey,34,1.0,6.123233995736766e-17,1,0,0,0,1,9814695.556023847
2026,4,turkey,35,0.8660254037844387,-0.49999999999999983,0,1,0,0,0,8823206.582676154
2026,1,uk,32,0.49999999999999994,0.8660254037844387,1,0,0,0,1,7148047.883822137
2026,2,uk,33,0.8660254037844386,0.5000000000000001,1,0,0,0,1,8242720.471678239
2026,3,uk,34,1.0,6.123233995736766e-17,1,0,0,0,1,9408845.400254354
2026,4,uk,35,0.8660254037844387,-0.49999999999999983,0,1,0,0,0,6524813.698009367
