region,model_type,forecast_total,actual_total,total_error,total_error_pct,mae,rmse,mape
belarus,Random Forest,63075028.69,62918035,156993.68999999762,0.24952096803404242,423414.52333333343,435562.10805518756,2.009413918039743
cis,Random Forest,54846813.74,51479370,3367443.740000002,6.5413460576537785,1122481.2466666661,1227207.3011619376,6.6257091126650725
mena,Random Forest,64519875.99000001,42301795,22218080.99000001,52.52278535698074,7406026.996666667,7764565.715639094,56.115806281435546
other,Random Forest,65190223.25,52114519,13075704.25,25.0903289542018,4358568.083333333,4445921.031176612,25.30053428109375
russia,Random Forest,4800454126.19,4748372776,52081350.18999958,1.0968252209101534,42201723.49000001,45971333.991489,2.6810176376760664
spain,Random Forest,34414226.86,27346533,7067693.859999999,25.84493566332522,2355897.953333333,2381843.2658045264,26.029503957143625
turkey,Random Forest,10744644.469999999,14019714,-3275069.530000001,-23.360458922343216,1091689.8433333335,1169626.1437558637,22.69666599086647
uk,Random Forest,7134836.5600000005,10413050,-3278213.4399999995,-31.481779497841643,1092737.8133333332,1165758.8931151733,30.45262551738218
