region,model,year,month,forecast_revenue
turkey,Lasso,2025,12,4965099.506037511
turkey,Lasso,2026,1,5407707.361254308
turkey,Random Forest,2025,10,4380816.12
turkey,Random Forest,2025,11,4334267.08
turkey,Random Forest,2025,12,4519581.89
turkey,Random Forest,2026,1,4502973.16
turkey,Prophet,2025,10,6614089.4274637615
turkey,Prophet,2025,11,0.0
turkey,Prophet,2025,12,9852804.5441915
turkey,Prophet,2026,1,3007404.89506402
uk,Linear Regression,2025,10,5504279.85029267
uk,Linear Regression,2025,11,5656832.07674185
uk,Linear Regression,2025,12,6173038.426239712
uk,Linear Regression,2026,1,8444538.172256632
uk,Ridge,2025,10,4150339.1949934727
uk,Ridge,2025,11,3982638.0206099926
uk,Ridge,2025,12,4059725.6072675376
uk,Ridge,2026,1,5395286.911583802
uk,Lasso,2025,10,5205931.318565063
uk,Lasso,2025,11,5164737.649060376
uk,Lasso,2025,12,5449990.202752553
uk,Lasso,2026,1,7394378.862992665
uk,Random Forest,2025,10,3108953.04
uk,Random Forest,2025,11,3140260.51
uk,Random Forest,2025,12,3160933.0
uk,Random Forest,2026,1,3324958.98
uk,Prophet,2025,10,1667633.235646121
uk,Prophet,2025,11,786128.0318708419
uk,Prophet,2025,12,7261439.543426138
uk,Prophet,2026,1,3108678.034088922
