time_index,month_sin,month_cos,q1,q2,q3,q4,holiday_period,time_squared,time_cubed,time_seasonal,Сумма по полю distributed_ads_cost, revenue_first_transactions, revenue_repeat_transactions,Сумма по полю first_traffic,Сумма по полю repeat_traffic,Сумма по полю first_transactions,Сумма по полю repeat_transactions,Сумма по полю ads_cost,Сумма по полю not_ads_cost,Сумма по полю bonus_company,Сумма по полю promo_cost
32,-0.8660254037844384,-0.5000000000000004,0,0,1,0,0,1024,32768,-27.712812921102028,359505.2952205924,7328285.147869068,4285101.696936212,3697.3323630762998,12420.495339504654,357.01652176129676,1496.9874400618248,1995013.7145663954,848430.7395878754,179673.7777030978,140322.0820795173
33,-1.0,-1.8369701987210297e-16,0,0,0,1,0,1089,35937,-33.0,385892.8643896572,8755500.196945759,4430634.786819261,3769.651169432685,13189.75711970225,428.80382200478175,1601.6108580415512,1752911.0224837966,614805.6801865776,168707.01557227146,171991.98164465372
34,-0.8660254037844386,0.5000000000000001,0,0,0,1,0,1156,39304,-29.444863728670914,403280.20847806503,9662948.694181109,4504360.152953792,4016.6401692784902,13867.587507769807,434.41397744820074,1601.6477842118954,2053879.06720701,745377.2985631248,171575.07363740102,165611.60080682253
35,-0.5000000000000004,0.8660254037844384,0,0,0,1,1,1225,42875,-17.500000000000014,441122.0697340515,10502956.481583813,4124144.6902909153,4060.081150727967,14325.618687361712,434.35805660163334,1545.3596874747918,2285324.8877644925,795294.0374077585,165594.6923651846,157343.0961713147
