year,month,Quarter,Halfyear,region_to,is_global,subdivision,is_paid,category,KEY_clean,is_flowers,Сумма по полю distributed_ads_cost,revenue_first_transactions,revenue_repeat_transactions,revenue_total,first_traffic,repeat_traffic,traffic_total,first_transactions,repeat_transactions,transacitons_total,ads_cost,not_ads_cost,bonus_company,promo_cost,mar_cost,date,time_index
2023,9,Q3,H2,russia,,brand,paid,Хендмейд и хобби,,non_flowers,0.0,1525.0,9128.0,10653.0,62.0,149.0,211.0,0.7607669,4.2031392,4.9639061,0.0,0.0,0.0,2815.6667,2815.6667,2023-09-01,0.0
2023,9,Q3,H2,russia,,brand,paid,Цветы,,flowers,0.0,6780905.0,10087333.0,16868238.0,12549.0,57998.0,70547.0,2443.019229,3032.407092,5475.426321,114161.46,0.0,201225.3333,628362.0,943748.7933,2023-09-01,0.0
2023,9,Q3,H2,russia,,brand,paid,,,non_flowers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7033195.56,3687805.0,0.0,0.0,10721000.56,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Аксессуары,,non_flowers,0.0,2939.0,124658.0,127597.0,342.0,2674.0,3016.0,1.5,29.833333,31.333333,0.0,0.0,4332.5,9315.0,13647.5,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Вкусные наборы,,non_flowers,0.0,125939.0,1111035.0,1236974.0,0.0,0.0,0.0,34.494951,242.5989394,277.0938904,0.0,0.0,28740.50653,19908.4,48648.90653,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Воздушные шары,,non_flowers,0.0,419660.0,2945464.0,3365124.0,0.0,0.0,0.0,142.1520487,859.0293978,1001.181447,0.0,0.0,84155.4032,39247.6169,123403.0201,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Декор,,non_flowers,0.0,33906.0,533525.0,567431.0,1392.0,10548.0,11940.0,17.6666666,183.2333297,200.8999963,0.0,0.0,14656.49997,8142.567,22799.06697,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Для дома,,non_flowers,0.0,8108.0,38720.0,46828.0,89.0,938.0,1027.0,2.3333333,8.6666663,10.9999996,0.0,0.0,8378.833,1068.0,9446.833,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Другое,,non_flowers,0.0,1042.0,611.0,1653.0,10.0,37.0,47.0,0.5,0.8333333,1.3333333,0.0,0.0,110.33333,0.0,110.33333,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Зоотовары,,non_flowers,0.0,0.0,0.0,0.0,28.0,119.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Канцелярские товары,,non_flowers,0.0,1602.0,11605.0,13207.0,74.0,548.0,622.0,1.5,3.25,4.75,0.0,0.0,4209.0,64.0,4273.0,2023-09-01,0.0
2023,9,Q3,H2,russia,,organic_apps,non_paid,Картины,,non_flowers,0.0,11631.0,44088.0,55719.0,220.0,1738.0,1958.0,2.0,5.9918448,7.9918448,0.0,0.0,689.0,799.0,1488.0,2023-09-01,0.0
