year,month,region_to,subdivision,category,revenue_first_transactions,revenue_repeat_transactions,Сумма по полю first_traffic,Сумма по полю repeat_traffic,traffic_total,first_transactions,repeat_transactions,transacitons_total,ads_cost,not_ads_cost,bonus_company,promo_cost,mar_cost,is_forecast,Quarter,Halfyear
2026,12,belarus,organic_apps,Вкусныенаборы,5936.125439475982,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_apps,Воздушныешары,5159.712505710924,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_apps,Воздушныешары,5145.408102059977,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_apps,Воздушныешары,4335.851191817685,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_apps,Воздушныешары,4624.44486055865,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_apps,Декор,860.3053977417543,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_apps,Декор,2527.4748129296486,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_apps,Декор,3220.7834887475697,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_apps,Декор,3163.516885933716,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_apps,Картины,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_apps,Картины,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_apps,Картины,12.641336385836388,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_apps,Картины,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_apps,Комнатныерастения,21684.5749229798,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_apps,Комнатныерастения,23759.046597222215,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_apps,Комнатныерастения,22296.476415764788,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_apps,Комнатныерастения,23143.482763888882,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_apps,Кондитерскиеипекарни,180707.27713888892,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_apps,Кондитерскиеипекарни,219148.65003499272,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_apps,Кондитерскиеипекарни,141564.1706269841,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_apps,Кондитерскиеипекарни,175208.68877453104,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_apps,Косметикаипарфюмерия,0.0,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_apps,Косметикаипарфюмерия,18.920389957264955,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_apps,Косметикаипарфюмерия,18.574711385836384,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_apps,Косметикаипарфюмерия,18.920389957264955,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_apps,Магазинычаяикофе,0.0,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_apps,Магазинычаяикофе,0.0,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_apps,Магазинычаяикофе,0.0,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_apps,Магазинычаяикофе,0.0,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_apps,Подарочныесертификаты,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_apps,Подарочныесертификаты,12.987014957264956,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_apps,Подарочныесертификаты,12.641336385836388,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_apps,Подарочныесертификаты,12.987014957264956,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_apps,Посуда,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_apps,Посуда,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_apps,Посуда,12.641336385836388,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_apps,Посуда,12.987014957264956,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_apps,Съедобныебукеты,78915.56927236654,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_apps,Съедобныебукеты,152022.23573088014,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_apps,Съедобныебукеты,82044.87227831889,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_apps,Съедобныебукеты,95281.56029960312,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_apps,Товарыдляпраздника,1365.2217241108563,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_apps,Товарыдляпраздника,1374.9561523321452,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_apps,Товарыдляпраздника,1437.6936357646848,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_apps,Товарыдляпраздника,3816.572008877517,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_apps,Украшения,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_apps,Украшения,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_apps,Украшения,12.641336385836388,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_apps,Украшения,12.987014957264956,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_apps,Хендмейдихобби,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_apps,Хендмейдихобби,12.987014957264956,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_apps,Хендмейдихобби,12.641336385836388,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_apps,Хендмейдихобби,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_apps,Цветы,2026005.6458046539,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_apps,Цветы,3296683.0659646452,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_apps,Цветы,1991036.975202381,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_apps,Цветы,2119042.8680396825,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_web,Аксессуары,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_web,Аксессуары,12.987014957264956,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_web,Аксессуары,12.641336385836388,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_web,Аксессуары,12.987014957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_web,Воздушныешары,11197.008801450353,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_web,Воздушныешары,7212.138944986217,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_web,Воздушныешары,6744.577717338867,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_web,Воздушныешары,13714.835615620483,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_web,Декор,19.035389957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_web,Декор,297.3380676129427,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_web,Декор,18.689711385836382,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_web,Декор,561.3810804334554,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,organic_web,Комнатныерастения,5111.903518636918,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,organic_web,Комнатныерастения,7680.7438142007895,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,organic_web,Комнатныерастения,4693.919013750547,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,organic_web,Комнатныерастения,11528.699278908818,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
